Line,GN_mean
Line356,102.0333333
Line357,117.5083333
Line358,69.1
Line359,71.98333333
Line360,126.5166667
Line361,103.4916667
Line362,130.5166667
Line363,105.1583333
Line364,164.0416667
Line365,101.9916667
Line366,74.01666667
Line367,119.1083333
Line368,91.90833333
Line369,80.75833333
Line370,98.525
Line371,135.475
Line372,94.26666667
Line373,114.8083333
Line374,111.95
Line375,118.6166667
Line376,113.55
Line377,116.4666667
Line378,79.98333334
Line379,95.23333333
Line380,151.2916667
Line381,150.1166667
Line382,96.35833334
Line383,126.6583333
Line384,161.6166667
Line385,86.3
Line386,87.79166667
Line387,93.23333333
Line388,95.54166668
Line389,126.5916667
Line390,114.3083333
Line391,94.1
Line392,101.8333333
Line393,118.725
Line394,118.95
Line395,83.13333333
Line396,80.80833334
Line397,123.2166667
Line398,161.45
Line399,128.925
Line400,92.94166667
Line401,97.94166667
Line402,82.95833333
Line403,63.6
Line404,168.8833333
Line405,141.0416667
Line406,83.04166667
Line407,139.125
Line408,86.05833333
Line409,171.7666667
Line410,80.00833333
Line411,120.875
Line412,94.425
Line413,79.61666667
Line414,123.2916667
Line415,129.825
Line416,108.675
Line417,179.05
Line418,89.60833333
Line419,167.4416667
Line420,95.57500001
Line421,112.1416667
Line422,106.0666667
Line423,98.78333333
Line424,89.21666667
Line425,123.9166667
Line426,124.6416667
Line427,90.34166667
Line428,107.8833333
Line429,92.40833334
Line430,101.4
Line431,108.8
Line432,91.43333334
Line433,111.175
Line434,117.0083334
Line435,80.33333333
Line436,103.8166667
Line437,125.4083333
Line438,87.14166667
Line439,113.975
Line440,138.0208333
Line441,127.2416667
Line442,113.2083333
Line443,76.83333333
Line444,100.6
Line445,131.675
Line446,104.2666667
Line447,101.45
Line448,102.1375
Line449,111.45
Line450,83.6
Line451,194.0833333
Line452,151.1916667
Line453,124.0166667
Line454,111.8583333
Line455,164.2583334
Line456,124.1666667
Line457,117.025
Line458,154.7583333
Line459,89.01666667
Line460,91.99166667
Line461,165.7
Line462,190.3083333
Line463,142.0583333
Line464,133.9583334
Line465,114.4916667
Line466,147.1166667
Line467,117.5833333
Line468,104.1916667
Line469,93.6
Line470,84.50833333
Line471,92.225
Line472,140.4833334
Line473,93.97500001
Line474,157.8083334
Line475,142.575
Line476,173.8083334
Line477,103.2916667
Line478,99.55555555
Line479,120.9916667
Line480,93.92500001
Line481,131.0458333
Line482,96.50833333
Line483,105.5
Line484,130.7166667
Line485,123.8166667
Line486,135.2833333
Line487,157.8583333
Line488,93.25833334
Line489,122.1416667
Line490,93.75000001
